id,name,group,message
0,AV HENDRIK/AH1DM,ハイブースト回避アクション:[ダメージ],一定時間の間に指定のダメージを受けると、ハイブーストでの回避を行うチップです。ENの残量を優先します。
1,AV HENDRIK/AH2DM,ハイブースト回避アクション:[ダメージ],一定時間の間に指定のダメージを受けると、ハイブーストでの回避を行うチップです。ENを気にせず、回避を優先します。
2,AV NILS/AH1LC,ハイブースト回避アクション:[ロック],ロックされた状態が指定の時間継続すると、ハイブーストでの回避を行うチップです。ENの残量を優先します。
3,AV NILS/AH2LC,ハイブースト回避アクション:[ロック],ロックされた状態が指定の時間継続すると、ハイブーストでの回避を行うチップです。ENを気にせず、回避を優先します。
4,AV ALBERT/AH1JM,ハイブースト回避アクション:[ジャマー],ジャマーを受けた状態が指定の時間継続すると、ハイブーストでの回避を行うチップです。ENの残量を優先します。
5,AV ALBERT/AH2JM,ハイブースト回避アクション:[ジャマー],ジャマーを受けた状態が指定の時間継続すると、ハイブーストでの回避を行うチップです。ENを気にせず、回避を優先します。
6,AV ENRICO/AH1ST,ハイブースト回避アクション:[反動],反動によって機動力が低下すると、ハイブーストでの回避を行うチップです。ENの残量を優先します。
7,AV ENRICO/AH2ST,ハイブースト回避アクション:[反動],反動によって機動力が低下すると、ハイブーストでの回避を行うチップです。ENを気にせず、回避を優先します。
8,AV WOLFGANG/ABF1D,空中制御アクション:[ダメージ],空中機動をコントロールするチップです。一定時間の間に指定のダメージを受けると、地上に降ります。
9,AV WOLFGANG/ABF2D,空中制御アクション:[ダメージ],空中機動をコントロールするチップです。一定時間の間に指定のダメージを受けると、地上に降ります。ダメージにより敏感に反応します。
10,AV PAVEL/ABF1L,空中制御アクション:[ロック],空中機動をコントロールするチップです。ロックされた状態が指定の時間継続すると、地上に降ります。
11,AV PAVEL/ABF2L,空中制御アクション:[ロック],空中機動をコントロールするチップです。ロックされた状態が指定の時間継続すると、地上に降ります。ロックオンにより敏感に反応します。
12,AV JULIAN/AJ1,ジャンプ回避アクション:,指定の時間が経過する事に、ジャンプを行うチップです。ジャンプの頻度が低く、ENの残量を優先します。
13,AV JULIAN/AJ2,ジャンプ回避アクション:,指定の時間が経過する事に、ジャンプを行うチップです。
14,AV JULIAN/AJ3,ジャンプ回避アクション:,指定の時間が経過する事に、ジャンプを行うチップです。ジャンプの頻度が高く、回避を優先します。
15,AV LEO/ABD1,ブーストドライブ回避アクション:,ブーストドライブの頻度をあげるチップです。範囲が狭く、ENの残量を優先します。
16,AV LEO/ABD2,ブーストドライブ回避アクション:,ブーストドライブの頻度をあげるチップです。
17,AV LEO/ABD3,ブーストドライブ回避アクション:,ブーストドライブの頻度をあげるチップです。範囲が広く、回避を優先します。
18,AV NORMAN/AHM1D,ミサイル回避アクション:,ミサイルに対して特殊な回避行動を行うチップです。使用する条件を、ミサイルとの距離と角度で指定します。範囲が狭く、ENの残量を優先します。
19,AV NORMAN/AHM2D,ミサイル回避アクション:,ミサイルに対して特殊な回避行動を行うチップです。使用する条件を、ミサイルとの距離と角度で指定します。
20,AV NORMAN/AHM3D,ミサイル回避アクション:,ミサイルに対して特殊な回避行動を行うチップです。使用する条件を、ミサイルとの距離と角度で指定します。範囲が広く、回避を優先します。
