id,name,default,values
0,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
0,最短攻撃距離,0,0,50
0,最長攻撃距離,150,50,200
0,最短装備距離,0,0,50
0,最長装備距離,150,100,250
0,攻撃演算性能,50,0,100
0,FCS異常時反応,OFF,ON,OFF
1,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
1,最短攻撃距離,100,50,150
1,最長攻撃距離,250,200,300
1,最短装備距離,100,50,150
1,最長装備距離,250,200,300
1,攻撃演算性能,60,0,100
1,FCS異常時反応,OFF,ON,OFF
2,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
2,最短攻撃距離,200,150,250
2,最長攻撃距離,350,300,400
2,最短装備距離,200,150,250
2,最長装備距離,350,300,400
2,攻撃演算性能,70,0,100
2,FCS異常時反応,OFF,ON,OFF
3,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
3,最短攻撃距離,300,250,350
3,最長攻撃距離,500,400,650
3,最短装備距離,300,250,350
3,最長装備距離,500,400,650
3,攻撃演算性能,80,0,100
3,FCS異常時反応,OFF,ON,OFF
4,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
4,最短攻撃距離,0,0,50
4,最長攻撃距離,150,50,200
4,最短装備距離,0,0,50
4,最長装備距離,150,100,250
4,攻撃演算性能,50,0,100
4,攻撃左右範囲,45,0,180
4,攻撃上下範囲,45,0,180
4,FCS異常時反応,OFF,ON,OFF
5,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
5,最短攻撃距離,100,50,150
5,最長攻撃距離,250,200,400
5,最短装備距離,100,50,150
5,最長装備距離,250,200,400
5,攻撃演算性能,60,0,100
5,攻撃左右範囲,30,0,180
5,攻撃上下範囲,30,0,180
5,FCS異常時反応,OFF,ON,OFF
6,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
6,最短攻撃距離,0,0,50
6,最長攻撃距離,150,50,200
6,最短装備距離,0,0,50
6,最長装備距離,150,100,250
6,攻撃演算性能,50,0,100
6,攻撃限界EN率,30,0,100
6,FCS異常時反応,OFF,ON,OFF
7,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
7,最短攻撃距離,100,50,150
7,最長攻撃距離,250,200,300
7,最短装備距離,100,50,150
7,最長装備距離,250,200,300
7,攻撃演算性能,60,0,100
7,攻撃限界EN率,30,0,100
7,FCS異常時反応,OFF,ON,OFF
8,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
8,最短攻撃距離,200,150,250
8,最長攻撃距離,350,300,400
8,最短装備距離,200,150,250
8,最長装備距離,350,300,400
8,攻撃演算性能,70,0,100
8,攻撃限界EN率,30,0,100
8,FCS異常時反応,OFF,ON,OFF
9,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
9,最短攻撃距離,300,250,350
9,最長攻撃距離,500,400,650
9,最短装備距離,300,250,350
9,最長装備距離,500,400,650
9,攻撃演算性能,80,0,100
9,攻撃限界EN率,30,0,100
9,FCS異常時反応,OFF,ON,OFF
10,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
10,最短攻撃距離,0,0,50
10,最長攻撃距離,150,50,200
