id,name,group,message
0,MV EMILIO/KD01,移動アクション:[距離][近],近距離戦闘型のチップです。ターゲットから、指定距離を維持するように移動します。
1,MV EMILIO/KD02,移動アクション:[距離][近?中],近?中距離戦闘型のチップです。ターゲットから、指定距離を維持するように移動します。
2,MV EMILIO/KD03,移動アクション:[距離][中],中距離戦闘型のチップです。ターゲットから、指定距離を維持するように移動します。
3,MV EMILIO/KD04,移動アクション:[距離][中?遠],中?遠距離戦闘型のチップです。ターゲットから、指定距離を維持するように移動します。
4,MV EMILIO/KD05,移動アクション:[距離][遠],遠距離戦闘型のチップです。ターゲットから、指定距離を維持するように移動します。
5,MV EMILIO/KD06,移動アクション:[距離][超遠],超遠距離戦闘型のチップです。ターゲットから、指定距離を維持するように移動します。
6,MV AYRTON/MR011,移動アクション:[前方移動][近][左],近距離戦闘型のチップです。ターゲットの前方・左方向に移動します。
7,MV AYRTON/MR012,移動アクション:[前方移動][近][右],近距離戦闘型のチップです。ターゲットの前方・右方向に移動します。
8,MV AYRTON/MR013,移動アクション:[回り込み移動][近][左],近距離戦闘型のチップです。ターゲットの後方・左方向に移動します。
9,MV AYRTON/MR014,移動アクション:[回り込み移動][近][右],近距離戦闘型のチップです。ターゲットの後方・右方向に移動します。
10,MV AYRTON/MR021,移動アクション:[前方移動][近?中][左],近?中距離戦闘型のチップです。ターゲットの前方・左方向に移動します。
11,MV AYRTON/MR022,移動アクション:[前方移動][近?中][右],近?中距離戦闘型のチップです。ターゲットの前方・右方向に移動します。
12,MV AYRTON/MR023,移動アクション:[回り込み移動][近?中][左],近?中距離戦闘型のチップです。ターゲットの後方・左方向に移動します。
13,MV AYRTON/MR024,移動アクション:[回り込み移動][近?中][右],近?中距離戦闘型のチップです。ターゲットの後方・右方向に移動します。
14,MV AYRTON/MR031,移動アクション:[前方移動][中][左],中距離戦闘型のチップです。ターゲットの前方・左方向に移動します。
15,MV AYRTON/MR032,移動アクション:[前方移動][中][右],中距離戦闘型のチップです。ターゲットの前方・右方向に移動します。
16,MV AYRTON/MR033,移動アクション:[回り込み移動][中][左],中距離戦闘型のチップです。ターゲットの後方・左方向に移動します。
17,MV AYRTON/MR034,移動アクション:[回り込み移動][中][右],中距離戦闘型のチップです。ターゲットの後方・右方向に移動します。
18,MV AYRTON/MR041,移動アクション:[前方移動][遠][左],遠距離戦闘型のチップです。ターゲットの前方・左方向に移動します。
19,MV AYRTON/MR042,移動アクション:[前方移動][遠][右],遠距離戦闘型のチップです。ターゲットの前方・右方向に移動します。
20,MV AYRTON/MR043,移動アクション:[回り込み移動][遠][左],遠距離戦闘型のチップです。ターゲットの後方・左方向に移動します。
21,MV AYRTON/MR044,移動アクション:[回り込み移動][遠][右],遠距離戦闘型のチップです。ターゲットの後方・右方向に移動します。
22,MV KIMI/RKD11,移動アクション:[ジグザグ移動][近][左],近距離戦闘型のチップです。ターゲットの左方向に移動しつつ距離を維持します。
23,MV KIMI/RKD12,移動アクション:[ジグザグ移動][近][右],近距離戦闘型のチップです。ターゲットの右方向に移動しつつ距離を維持します。
24,MV KIMI/RKD21,移動アクション:[ジグザグ移動][近?中][左],近?中距離戦闘型のチップです。ターゲットの左方向に移動しつつ距離を維持します。
25,MV KIMI/RKD22,移動アクション:[ジグザグ移動][近?中][右],近?中距離戦闘型のチップです。ターゲットの右方向に移動しつつ距離を維持します。
26,MV KIMI/RKD31,移動アクション:[ジグザグ移動][中][左],中距離戦闘型のチップです。ターゲットの左方向に移動しつつ距離を維持します。
27,MV KIMI/RKD32,移動アクション:[ジグザグ移動][中][右],中距離戦闘型のチップです。ターゲットの右方向に移動しつつ距離を維持します。
28,MV KIMI/RKD41,移動アクション:[ジグザグ移動][中?遠][左],中?遠距離戦闘型のチップです。ターゲットの左方向に移動しつつ距離を維持します。
29,MV KIMI/RKD42,移動アクション:[ジグザグ移動][中?遠][右],近?中距離戦闘型のチップです。ターゲットの右方向に移動しつつ距離を維持します。
30,MV KIMI/RKD51,移動アクション:[ジグザグ移動][遠][左],遠距離戦闘型のチップです。ターゲットの左方向に移動しつつ距離を維持します。
31,MV KIMI/RKD52,移動アクション:[ジグザグ移動][遠][右],遠距離戦闘型のチップです。ターゲットの右方向に移動しつつ距離を維持します。
