id,name,default,values
0,継続時間,5.0,1.0,30.0
0,目的距離,50,5,100
0,不確定距離,15,0,30
0,相対高度,0,-100,100
1,継続時間,5.0,1.0,30.0
1,目的距離,150,100,200
1,不確定距離,15,0,30
1,相対高度,0,-100,100
2,継続時間,5.0,1.0,30.0
2,目的距離,250,200,300
2,不確定距離,15,0,30
2,相対高度,0,-100,100
3,継続時間,5.0,1.0,30.0
3,目的距離,350,300,400
3,不確定距離,15,0,30
3,相対高度,0,-100,100
4,継続時間,5.0,1.0,30.0
4,目的距離,500,400,600
4,不確定距離,30,0,60
4,相対高度,0,-100,100
5,継続時間,5.0,1.0,30.0
5,目的距離,750,600,900
5,不確定距離,60,0,120
5,相対高度,0,-100,100
6,継続時間,5.0,1.0,30.0
6,目的距離,50,5,100
6,不確定距離,15,0,30
6,相対高度,0,-100,100
6,目的角度,30,0,60
6,不確定角度,5,0,10
7,継続時間,5.0,1.0,30.0
7,目的距離,50,5,100
7,不確定距離,15,0,30
7,相対高度,0,-100,100
7,目的角度,-30,-60,0
7,不確定角度,5,0,10
8,継続時間,5.0,1.0,30.0
8,目的距離,50,5,100
8,不確定距離,15,0,30
8,相対高度,0,-100,100
8,目的角度,120,60,180
8,不確定角度,5,0,10
9,継続時間,5.0,1.0,30.0
9,目的距離,50,5,100
9,不確定距離,15,0,30
9,相対高度,0,-100,100
9,目的角度,-120,-180,-60
9,不確定角度,5,0,10
10,継続時間,5.0,1.0,30.0
10,目的距離,150,100,200
10,不確定距離,15,0,30
10,相対高度,0,-100,100
10,目的角度,30,0,60
10,不確定角度,5,0,10
11,継続時間,5.0,1.0,30.0
11,目的距離,150,100,200
11,不確定距離,15,0,30
11,相対高度,0,-100,100
11,目的角度,-30,-60,0
11,不確定角度,5,0,10
12,継続時間,5.0,1.0,30.0
12,目的距離,150,100,200
12,不確定距離,15,0,30
12,相対高度,0,-100,100
12,目的角度,120,60,180
12,不確定角度,5,0,10
13,継続時間,5.0,1.0,30.0
13,目的距離,150,100,200
13,不確定距離,15,0,30
13,相対高度,0,-100,100
13,目的角度,-120,-180,-60
13,不確定角度,5,0,10
14,継続時間,5.0,1.0,30.0
14,目的距離,250,200,300
14,不確定距離,15,0,30
14,相対高度,0,-100,100
14,目的角度,30,0,60
14,不確定角度,5,0,10
15,継続時間,5.0,1.0,30.0
15,目的距離,250,200,300
15,不確定距離,15,0,30
15,相対高度,0,-100,100
15,目的角度,-30,-60,0
15,不確定角度,5,0,10
16,継続時間,5.0,1.0,30.0
16,目的距離,250,200,300
16,不確定距離,15,0,30
16,相対高度,0,-100,100
16,目的角度,120,60,180
16,不確定角度,5,0,10
17,継続時間,5.0,1.0,30.0
17,目的距離,250,200,300
17,不確定距離,15,0,30
17,相対高度,0,-100,100
17,目的角度,-120,-180,-60
17,不確定角度,5,0,10
18,継続時間,5.0,1.0,30.0
18,目的距離,350,300,400
18,不確定距離,15,0,30
18,相対高度,0,-100,100
18,目的角度,30,0,60
18,不確定角度,5,0,10
19,継続時間,5.0,1.0,30.0
19,目的距離,350,300,400
19,不確定距離,15,0,30
19,相対高度,0,-100,100
19,目的角度,-30,-60,0
19,不確定角度,5,0,10
20,継続時間,5.0,1.0,30.0
20,目的距離,350,300,400
20,不確定距離,15,0,30
20,相対高度,0,-100,100
20,目的角度,120,60,180
20,不確定角度,5,0,10
21,継続時間,5.0,1.0,30.0
21,目的距離,350,300,400
21,不確定距離,15,0,30
21,相対高度,0,-100,100
21,目的角度,-120,-180,-60
21,不確定角度,5,0,10
22,継続時間,5.0,1.0,30.0
22,目的距離,50,0,100
22,不確定距離,15,0,30
22,相対高度,0,-100,100
22,目的角度,45,0,90
22,不確定角度,5,0,10
23,継続時間,5.0,1.0,30.0
23,目的距離,50,0,100
23,不確定距離,15,0,30
23,相対高度,0,-100,100
23,目的角度,-45,-90,0
23,不確定角度,5,0,10
24,継続時間,5.0,1.0,30.0
24,目的距離,150,100,200
24,不確定距離,15,0,30
24,相対高度,0,-100,100
24,目的角度,45,0,90
24,不確定角度,5,0,10
25,継続時間,5.0,1.0,30.0
25,目的距離,150,100,200
25,不確定距離,15,0,30
25,相対高度,0,-100,100
25,目的角度,-45,-90,0
25,不確定角度,5,0,10
26,継続時間,5.0,1.0,30.0
26,目的距離,250,200,300
26,不確定距離,15,0,30
26,相対高度,0,-100,100
26,目的角度,45,0,90
26,不確定角度,5,0,10
27,継続時間,5.0,1.0,30.0
27,目的距離,250,200,300
27,不確定距離,15,0,30
27,相対高度,0,-100,100
27,目的角度,-45,-90,0
27,不確定角度,5,0,10
28,継続時間,5.0,1.0,30.0
28,目的距離,350,300,400
28,不確定距離,15,0,30
28,相対高度,0,-100,100
28,目的角度,45,0,90
28,不確定角度,5,0,10
29,継続時間,5.0,1.0,30.0
29,目的距離,350,300,400
29,不確定距離,15,0,30
29,相対高度,0,-100,100
29,目的角度,-45,-90,0
29,不確定角度,5,0,10
30,継続時間,5.0,1.0,30.0
30,目的距離,500,400,600
30,不確定距離,15,0,30
30,相対高度,0,-100,100
30,目的角度,45,0,90
30,不確定角度,5,0,10
31,継続時間,5.0,1.0,30.0
31,目的距離,500,400,600
31,不確定距離,15,0,30
31,相対高度,0,-100,100
31,目的角度,-45,-90,0
31,不確定角度,5,0,10
