id,name,default,values
0,最短攻撃距離,0,0,50
0,最長攻撃距離,150,50,200
0,攻撃演算性能,50,0,100
1,最短攻撃距離,100,50,150
1,最長攻撃距離,250,200,300
1,攻撃演算性能,60,0,100
2,最短攻撃距離,200,150,250
2,最長攻撃距離,350,300,400
2,攻撃演算性能,70,0,100
3,最短攻撃距離,300,250,350
3,最長攻撃距離,500,400,650
3,攻撃演算性能,80,0,100
4,最短攻撃距離,0,0,50
4,最長攻撃距離,150,50,200
4,攻撃演算性能,50,0,100
4,指定発射数,6,1,6
5,最短攻撃距離,100,50,150
5,最長攻撃距離,250,200,300
5,攻撃演算性能,60,0,100
5,指定発射数,6,1,6
6,最短攻撃距離,200,150,250
6,最長攻撃距離,350,300,400
6,攻撃演算性能,70,0,100
6,指定発射数,6,1,6
7,最短攻撃距離,300,250,350
7,最長攻撃距離,500,400,650
7,攻撃演算性能,80,0,100
7,指定発射数,6,1,6
8,最短攻撃距離,0,0,50
8,最長攻撃距離,150,50,200
8,攻撃演算性能,50,0,100
8,攻撃左右範囲,60,0,180
8,攻撃上下範囲,60,0,180
9,最短攻撃距離,100,50,150
9,最長攻撃距離,250,200,300
9,攻撃演算性能,60,0,100
9,攻撃左右範囲,60,0,180
9,攻撃上下範囲,60,0,180
10,最短攻撃距離,200,150,250
10,最長攻撃距離,350,300,400
10,攻撃演算性能,70,0,100
10,攻撃左右範囲,60,0,180
10,攻撃上下範囲,60,0,180
11,最短攻撃距離,300,250,350
11,最長攻撃距離,500,400,650
11,攻撃演算性能,80,0,100
11,攻撃左右範囲,60,0,180
11,攻撃上下範囲,60,0,180
12,射出条件 距離,150,0,300
12,射出条件 時間,2.0,0.0,10.0
13,射出条件 距離,350,300,500
13,射出条件 時間,3.5,0.0,10.0
14,射出条件 距離,600,500,900
14,射出条件 時間,5.0,0.0,10.0
15,使用距離,150,0,300
16,使用距離,300,0,600
17,使用距離,150,0,300
17,使用限界EN率,50,0,100
18,使用距離,300,0,600
18,使用限界EN率,50,0,100
19,使用距離,200,0,300
19,停止距離,50,0,200
19,強制有効EN率,25,0,100
20,使用距離,400,300,500
20,停止距離,50,0,200
20,強制有効EN率,25,0,100
