id,name,default,values
0,実行距離,50,0,100
0,実行範囲,30,0,170
0,実行限界EN率,40,0,100
0,実行間隔,5,0,30
0,反応性能,25,0,100
1,実行距離,25,0,100
1,実行範囲,100,0,170
1,実行限界EN率,30,0,100
1,実行間隔,3,0,30
1,反応性能,25,0,100
2,強制スキャンモード距離,1000,0,2000
2,スキャンモード起動EN率,50,0,100
2,スキャンモード解除EN率,90,0,100
3,強制スキャンモード距離,1000,0,2000
3,スキャンモード起動EN率,30,0,100
3,スキャンモード解除EN率,60,0,100
4,強制スキャンモード距離,1000,0,2000
4,スキャンモード起動EN率,10,0,100
4,スキャンモード解除EN率,40,0,100
5,リコン使用間隔,30,1,60
6,リコン使用間隔,10,1,60
7,リコン使用間隔,50,1,60
8,パージ搭載位置,R ARM UNIT,R ARM UNIT,L ARM UNIT,R HANGER UNIT,L HANGER UNIT
8,パージ距離,150,0,1000
9,パージ搭載位置,R ARM UNIT,R ARM UNIT,L ARM UNIT,R HANGER UNIT,L HANGER UNIT
9,パージ距離,150,0,1000
9,防御属性,KE,KE,CE,TE
9,防御力,2000,100,5000
10,パージ搭載位置,R ARM UNIT,R ARM UNIT,L ARM UNIT,R HANGER UNIT,L HANGER UNIT
10,パージ距離,150,0,1000
10,脚部タイプ,中量二脚,軽量二脚,中量二脚,重量二脚,軽量逆関節,重量逆関節,四脚,タンク
11,OW 装備距離,700,0,1500
11,OW 発動距離,200,0,1500
11,OW 左右角度,60,1,360
11,OW 上下角度,60,1,360
12,OW 装備距離,500,0,1500
12,OW 発動距離,150,0,1500
12,OW 左右角度,120,1,360
12,OW 上下角度,90,1,360
13,OW 装備距離,1500,0,1500
13,OW 発動距離,1000,0,1500
13,OW 左右角度,40,1,360
13,OW 上下角度,40,1,360
14,OW 装備距離,500,0,1500
14,OW 発動距離,200,0,1500
14,OW 左右角度,240,1,360
14,OW 上下角度,240,1,360
15,OW 装備距離,1200,0,1500
15,OW 発動距離,800,0,1500
15,OW 左右角度,120,1,360
15,OW 上下角度,90,1,360
16,OW 装備距離,700,0,1500
16,OW 発動距離,200,0,1500
16,OW 左右角度,120,1,360
16,OW 上下角度,50,1,360
