id,name,group,message
0,EXM LUDWIG/E-H-1,ハイブースト移動アクション:,ハイブーストでの高速接近を行うチップです。設定距離が長い遠距離型です。
1,EXM LUDWIG/E-H-2,ハイブースト移動アクション:,目的地よりも一定距離離れていた場合に、ハイブーストでの高速接近を行うチップです。
2,EXM LUDWIG/E-H-3,ハイブースト移動アクション:,ハイブーストでの高速接近を行うチップです。設定距離が短い近距離型です。
3,EXM FRANTZ/E-G-1,グライドブースト移動アクション:,グライドブーストでの高速接近を行うチップです。設定距離が長い遠距離型です。
4,EXM FRANTZ/E-G-2,グライドブースト移動アクション:,目的地よりも一定距離離れていた場合に、グライドブーストでの高速接近を行うチップです。
5,EXM FRANTZ/E-G-3,グライドブースト移動アクション:,グライドブーストでの高速接近を行うチップです。設定距離が短い近距離型です。
6,EXM JOHANN/E-B-1,ブーストドライブ移動アクション:,ブーストドライブでの高速接近の頻度をあげるチップです。設定距離が長い遠距離型です。
7,EXM JOHANN/E-B-2,ブーストドライブ移動アクション:,目的地よりも一定距離離れていた場合に、ブーストドライブでの高速接近の頻度をあげるチップです。
8,EXM JOHANN/E-B-3,ブーストドライブ移動アクション:,ブーストドライブでの高速接近の頻度をあげるチップです。設定距離が短い近距離型です。
9,EXM IGOR/E-T-1,捕捉移動アクション:,ターゲットが指定範囲から外れた場合に、後退しつつ旋回する「捕捉行動」を行うチップです。範囲の狭い、近距離戦闘型です。
10,EXM IGOR/E-T-2,捕捉移動アクション:,ターゲットが指定範囲から外れた場合に、後退しつつ旋回する「捕捉行動」を行うチップです。中距離戦闘型です。
11,EXM IGOR/E-T-3,捕捉移動アクション:,ターゲットが指定範囲から外れた場合に、後退しつつ旋回する「捕捉行動」を行うチップです。範囲の広い、遠距離戦闘型です。
