id,name,default,values
0,継続時間,5.0,1.0,20.0
0,目的地距離,350,0,500
0,特殊移動限界EN率,50,0,100
0,アクション間隔,3.0,0.0,30.0
1,継続時間,5.0,1.0,20.0
1,目的地距離,200,0,500
1,特殊移動限界EN率,50,0,100
1,アクション間隔,3.0,0.0,30.0
2,継続時間,5.0,1.0,20.0
2,目的地距離,50,0,500
2,特殊移動限界EN率,50,0,100
2,アクション間隔,3.0,0.0,30.0
3,継続時間,8.0,1.0,20.0
3,目的地距離,350,0,500
3,特殊移動限界EN率,50,0,100
3,アクション間隔,5.0,0.0,30.0
4,継続時間,8.0,1.0,20.0
4,目的地距離,200,0,500
4,特殊移動限界EN率,50,0,100
4,アクション間隔,5.0,0.0,30.0
5,継続時間,8.0,1.0,20.0
5,目的地距離,50,0,500
5,特殊移動限界EN率,50,0,100
5,アクション間隔,5.0,0.0,30.0
6,継続時間,8.0,1.0,20.0
6,目的地距離,350,0,500
6,特殊移動限界EN率,60,0,100
7,継続時間,8.0,1.0,20.0
7,目的地距離,200,0,500
7,特殊移動限界EN率,60,0,100
8,継続時間,8.0,1.0,20.0
8,目的地距離,50,0,500
8,特殊移動限界EN率,60,0,100
9,継続時間,5.0,1.0,20.0
9,捕捉行動実行距離,40,10,200
9,捕捉行動実行角度,60,10,180
10,継続時間,5.0,1.0,20.0
10,捕捉行動実行距離,70,10,200
10,捕捉行動実行角度,90,10,180
11,継続時間,5.0,1.0,20.0
11,捕捉行動実行距離,100,10,200
11,捕捉行動実行角度,120,10,180
